job_id,tools_preferred
1,KDB+
1, LangChain
2,FastAPI
2, KDB+
2, TensorFlow
3,BigQuery
3, PyTorch
3, Scikit-learn
4,TensorFlow
4, BigQuery
4, MLflow
5,PyTorch
5, LangChain
6,PyTorch
6, TensorFlow
6, FastAPI
7,PyTorch
7, MLflow
8,BigQuery
9,Scikit-learn
9, LangChain
9, BigQuery
10,MLflow
10, TensorFlow
11,LangChain
11, BigQuery
11, Scikit-learn
12,TensorFlow
12, PyTorch
12, BigQuery
13,LangChain
14,LangChain
14, TensorFlow
14, Scikit-learn
15,FastAPI
16,TensorFlow
17,LangChain
18,BigQuery
19,BigQuery
19, FastAPI
19, KDB+
20,MLflow
21,Scikit-learn
21, BigQuery
21, PyTorch
22,PyTorch
22, LangChain
23,PyTorch
23, Scikit-learn
23, KDB+
24,Scikit-learn
25,FastAPI
26,FastAPI
26, PyTorch
26, KDB+
27,TensorFlow
27, Scikit-learn
27, FastAPI
28,PyTorch
28, MLflow
29,Scikit-learn
29, FastAPI
29, LangChain
30,TensorFlow
31,KDB+
31, PyTorch
32,LangChain
32, KDB+
33,TensorFlow
33, Scikit-learn
34,PyTorch
35,TensorFlow
35, Scikit-learn
36,Scikit-learn
36, FastAPI
36, MLflow
37,Scikit-learn
37, LangChain
37, KDB+
38,MLflow
39,LangChain
40,FastAPI
40, Scikit-learn
40, LangChain
41,Scikit-learn
41, TensorFlow
41, BigQuery
42,TensorFlow
43,PyTorch
43, TensorFlow
43, FastAPI
44,TensorFlow
44, LangChain
44, PyTorch
45,KDB+
46,FastAPI
46, MLflow
46, TensorFlow
47,PyTorch
47, BigQuery
48,MLflow
48, BigQuery
48, LangChain
49,KDB+
49, PyTorch
49, MLflow
50,FastAPI
50, KDB+
50, Scikit-learn
51,BigQuery
52,LangChain
52, KDB+
52, FastAPI
53,MLflow
54,LangChain
54, BigQuery
54, MLflow
55,FastAPI
55, TensorFlow
55, BigQuery
56,BigQuery
56, PyTorch
56, TensorFlow
57,LangChain
57, Scikit-learn
57, PyTorch
58,MLflow
58, LangChain
59,FastAPI
59, PyTorch
59, LangChain
60,BigQuery
61,MLflow
62,LangChain
63,TensorFlow
63, LangChain
64,FastAPI
65,PyTorch
65, TensorFlow
65, FastAPI
66,FastAPI
66, KDB+
67,BigQuery
67, KDB+
68,PyTorch
69,LangChain
69, PyTorch
69, MLflow
70,BigQuery
71,FastAPI
71, PyTorch
72,FastAPI
72, LangChain
73,PyTorch
73, BigQuery
73, Scikit-learn
74,MLflow
74, PyTorch
75,KDB+
76,FastAPI
76, TensorFlow
76, PyTorch
77,PyTorch
78,LangChain
78, PyTorch
78, Scikit-learn
79,LangChain
80,KDB+
81,Scikit-learn
81, MLflow
81, PyTorch
82,PyTorch
82, Scikit-learn
82, BigQuery
83,MLflow
84,MLflow
84, LangChain
84, KDB+
85,FastAPI
85, LangChain
86,BigQuery
86, Scikit-learn
86, MLflow
87,LangChain
87, BigQuery
88,LangChain
88, MLflow
89,FastAPI
89, LangChain
89, BigQuery
90,KDB+
90, LangChain
91,BigQuery
91, KDB+
91, LangChain
92,LangChain
92, FastAPI
92, Scikit-learn
93,MLflow
93, FastAPI
93, TensorFlow
94,LangChain
94, BigQuery
95,LangChain
95, BigQuery
96,LangChain
97,LangChain
97, FastAPI
98,FastAPI
98, KDB+
98, LangChain
99,TensorFlow
99, BigQuery
100,TensorFlow
101,TensorFlow
102,KDB+
102, BigQuery
102, MLflow
103,KDB+
104,TensorFlow
105,LangChain
105, Scikit-learn
106,KDB+
106, MLflow
107,BigQuery
107, FastAPI
108,TensorFlow
108, Scikit-learn
108, MLflow
109,BigQuery
110,Scikit-learn
111,KDB+
112,Scikit-learn
113,MLflow
113, Scikit-learn
113, FastAPI
114,KDB+
115,Scikit-learn
115, TensorFlow
116,MLflow
117,LangChain
117, KDB+
118,Scikit-learn
119,MLflow
119, PyTorch
119, FastAPI
120,TensorFlow
120, KDB+
120, BigQuery
121,Scikit-learn
121, MLflow
122,BigQuery
123,KDB+
123, MLflow
124,KDB+
125,BigQuery
125, TensorFlow
126,PyTorch
127,Scikit-learn
128,LangChain
128, KDB+
129,PyTorch
129, KDB+
129, LangChain
130,Scikit-learn
131,BigQuery
132,KDB+
132, FastAPI
133,BigQuery
133, LangChain
133, FastAPI
134,TensorFlow
135,PyTorch
135, FastAPI
136,PyTorch
137,FastAPI
137, PyTorch
137, TensorFlow
138,BigQuery
138, Scikit-learn
139,LangChain
139, PyTorch
139, MLflow
140,BigQuery
141,Scikit-learn
141, TensorFlow
142,TensorFlow
143,FastAPI
143, KDB+
144,Scikit-learn
144, KDB+
145,MLflow
145, KDB+
146,BigQuery
146, MLflow
146, Scikit-learn
147,BigQuery
148,FastAPI
149,PyTorch
149, Scikit-learn
150,KDB+
151,FastAPI
151, TensorFlow
151, LangChain
152,Scikit-learn
153,Scikit-learn
154,TensorFlow
154, FastAPI
154, PyTorch
155,MLflow
155, PyTorch
155, KDB+
156,BigQuery
156, KDB+
157,TensorFlow
157, MLflow
158,MLflow
158, Scikit-learn
158, FastAPI
159,Scikit-learn
159, KDB+
159, BigQuery
160,Scikit-learn
160, BigQuery
160, KDB+
161,KDB+
161, BigQuery
162,FastAPI
162, PyTorch
163,Scikit-learn
163, MLflow
163, BigQuery
164,TensorFlow
164, MLflow
165,LangChain
166,BigQuery
166, MLflow
166, FastAPI
167,TensorFlow
167, BigQuery
168,TensorFlow
169,FastAPI
169, MLflow
169, KDB+
170,LangChain
171,FastAPI
171, PyTorch
171, TensorFlow
172,PyTorch
172, BigQuery
173,FastAPI
173, PyTorch
174,FastAPI
174, MLflow
175,TensorFlow
175, KDB+
175, MLflow
176,KDB+
176, BigQuery
177,PyTorch
177, LangChain
177, MLflow
178,Scikit-learn
178, PyTorch
178, LangChain
179,TensorFlow
179, BigQuery
179, KDB+
180,TensorFlow
180, FastAPI
181,KDB+
181, Scikit-learn
181, PyTorch
182,PyTorch
183,BigQuery
183, TensorFlow
184,Scikit-learn
184, BigQuery
185,TensorFlow
186,BigQuery
187,LangChain
187, MLflow
188,KDB+
189,BigQuery
190,PyTorch
190, KDB+
191,MLflow
191, LangChain
191, FastAPI
192,FastAPI
192, BigQuery
193,MLflow
193, KDB+
194,LangChain
194, KDB+
195,Scikit-learn
196,BigQuery
196, FastAPI
197,Scikit-learn
197, TensorFlow
197, FastAPI
198,BigQuery
199,BigQuery
199, KDB+
200,PyTorch
201,BigQuery
201, PyTorch
202,PyTorch
202, TensorFlow
202, FastAPI
203,LangChain
203, KDB+
203, FastAPI
204,TensorFlow
205,BigQuery
206,MLflow
207,TensorFlow
208,Scikit-learn
209,Scikit-learn
209, BigQuery
209, FastAPI
210,KDB+
210, FastAPI
210, PyTorch
211,KDB+
211, FastAPI
212,FastAPI
213,Scikit-learn
213, MLflow
214,BigQuery
215,LangChain
216,FastAPI
216, PyTorch
216, TensorFlow
217,Scikit-learn
218,TensorFlow
218, LangChain
218, FastAPI
219,BigQuery
219, PyTorch
220,KDB+
220, PyTorch
221,FastAPI
221, LangChain
221, TensorFlow
222,MLflow
222, PyTorch
222, TensorFlow
223,MLflow
224,BigQuery
224, TensorFlow
225,LangChain
225, Scikit-learn
225, FastAPI
226,PyTorch
226, Scikit-learn
227,BigQuery
227, Scikit-learn
227, LangChain
228,LangChain
229,TensorFlow
230,KDB+
230, FastAPI
231,TensorFlow
231, MLflow
231, LangChain
232,BigQuery
232, MLflow
232, KDB+
233,TensorFlow
233, LangChain
233, BigQuery
234,Scikit-learn
235,MLflow
236,BigQuery
236, KDB+
237,TensorFlow
237, PyTorch
237, LangChain
238,TensorFlow
238, Scikit-learn
239,TensorFlow
239, KDB+
239, BigQuery
240,PyTorch
240, MLflow
241,BigQuery
241, Scikit-learn
242,LangChain
242, BigQuery
243,MLflow
243, KDB+
243, BigQuery
244,LangChain
245,PyTorch
245, BigQuery
246,LangChain
246, Scikit-learn
247,TensorFlow
247, LangChain
248,Scikit-learn
248, KDB+
249,BigQuery
250,BigQuery
251,TensorFlow
252,LangChain
252, BigQuery
253,KDB+
254,MLflow
255,PyTorch
255, FastAPI
256,FastAPI
256, Scikit-learn
256, MLflow
257,PyTorch
257, BigQuery
258,Scikit-learn
258, TensorFlow
259,MLflow
259, BigQuery
259, LangChain
260,LangChain
260, FastAPI
261,Scikit-learn
261, LangChain
262,Scikit-learn
262, PyTorch
263,LangChain
263, KDB+
263, Scikit-learn
264,KDB+
265,LangChain
265, BigQuery
265, MLflow
266,LangChain
266, PyTorch
266, FastAPI
267,MLflow
267, FastAPI
268,FastAPI
268, MLflow
268, Scikit-learn
269,PyTorch
270,LangChain
270, BigQuery
271,LangChain
271, KDB+
271, BigQuery
272,MLflow
273,Scikit-learn
273, MLflow
274,Scikit-learn
274, BigQuery
275,Scikit-learn
275, FastAPI
275, KDB+
276,MLflow
276, BigQuery
277,PyTorch
278,MLflow
279,MLflow
279, LangChain
279, FastAPI
280,PyTorch
281,KDB+
281, BigQuery
281, MLflow
282,LangChain
283,PyTorch
283, TensorFlow
283, MLflow
284,LangChain
284, KDB+
285,KDB+
285, TensorFlow
285, LangChain
286,BigQuery
287,FastAPI
288,PyTorch
288, MLflow
289,MLflow
289, BigQuery
289, KDB+
290,LangChain
291,Scikit-learn
292,Scikit-learn
292, KDB+
292, BigQuery
293,LangChain
293, FastAPI
294,LangChain
294, BigQuery
294, TensorFlow
295,KDB+
296,PyTorch
297,Scikit-learn
297, FastAPI
297, KDB+
298,LangChain
298, FastAPI
299,LangChain
300,BigQuery
301,LangChain
301, MLflow
302,Scikit-learn
302, LangChain
302, BigQuery
303,Scikit-learn
303, TensorFlow
303, PyTorch
304,Scikit-learn
304, TensorFlow
304, MLflow
305,PyTorch
305, TensorFlow
306,BigQuery
306, FastAPI
307,BigQuery
307, MLflow
307, LangChain
308,PyTorch
309,BigQuery
309, MLflow
310,MLflow
310, LangChain
310, KDB+
311,KDB+
311, Scikit-learn
312,MLflow
312, LangChain
312, KDB+
313,LangChain
313, KDB+
313, PyTorch
314,KDB+
315,Scikit-learn
316,PyTorch
317,Scikit-learn
317, BigQuery
317, MLflow
318,PyTorch
318, LangChain
319,KDB+
319, MLflow
319, TensorFlow
320,LangChain
321,PyTorch
321, Scikit-learn
321, FastAPI
322,MLflow
322, PyTorch
322, FastAPI
323,BigQuery
323, TensorFlow
323, FastAPI
324,Scikit-learn
324, FastAPI
325,MLflow
325, TensorFlow
326,FastAPI
326, Scikit-learn
326, MLflow
327,KDB+
328,MLflow
329,TensorFlow
329, MLflow
329, FastAPI
330,MLflow
331,KDB+
331, FastAPI
331, LangChain
332,LangChain
333,TensorFlow
333, KDB+
334,Scikit-learn
335,BigQuery
335, LangChain
335, MLflow
336,BigQuery
336, TensorFlow
337,LangChain
337, Scikit-learn
338,PyTorch
338, BigQuery
339,MLflow
339, LangChain
340,TensorFlow
341,TensorFlow
341, MLflow
341, Scikit-learn
342,KDB+
343,FastAPI
344,TensorFlow
345,PyTorch
345, Scikit-learn
346,Scikit-learn
346, TensorFlow
346, KDB+
347,PyTorch
347, TensorFlow
347, MLflow
348,Scikit-learn
349,FastAPI
349, BigQuery
349, MLflow
350,Scikit-learn
350, MLflow
351,MLflow
352,LangChain
352, KDB+
353,LangChain
353, BigQuery
353, FastAPI
354,KDB+
354, PyTorch
355,FastAPI
356,PyTorch
356, TensorFlow
356, MLflow
357,TensorFlow
357, FastAPI
358,FastAPI
359,PyTorch
360,MLflow
361,MLflow
361, TensorFlow
361, FastAPI
362,FastAPI
363,MLflow
363, FastAPI
363, BigQuery
364,LangChain
364, FastAPI
365,KDB+
365, TensorFlow
365, PyTorch
366,MLflow
366, PyTorch
367,LangChain
368,MLflow
369,TensorFlow
369, PyTorch
370,KDB+
370, PyTorch
370, FastAPI
371,Scikit-learn
371, PyTorch
372,KDB+
373,LangChain
373, PyTorch
374,TensorFlow
374, Scikit-learn
374, PyTorch
375,Scikit-learn
376,MLflow
376, TensorFlow
377,KDB+
377, PyTorch
378,Scikit-learn
378, PyTorch
378, TensorFlow
379,PyTorch
379, Scikit-learn
380,KDB+
380, Scikit-learn
380, FastAPI
381,MLflow
382,KDB+
382, TensorFlow
383,Scikit-learn
383, FastAPI
384,TensorFlow
385,BigQuery
386,LangChain
386, PyTorch
387,KDB+
388,PyTorch
389,Scikit-learn
390,BigQuery
390, LangChain
390, Scikit-learn
391,PyTorch
392,LangChain
393,LangChain
393, FastAPI
393, TensorFlow
394,FastAPI
394, Scikit-learn
395,Scikit-learn
395, MLflow
396,PyTorch
397,TensorFlow
397, FastAPI
398,KDB+
399,KDB+
399, TensorFlow
399, PyTorch
400,PyTorch
400, KDB+
400, LangChain
401,TensorFlow
402,BigQuery
403,PyTorch
404,KDB+
405,FastAPI
406,FastAPI
406, TensorFlow
407,MLflow
407, TensorFlow
408,LangChain
408, MLflow
408, Scikit-learn
409,LangChain
410,LangChain
410, Scikit-learn
411,KDB+
411, FastAPI
412,BigQuery
412, TensorFlow
412, KDB+
413,LangChain
413, MLflow
414,MLflow
414, Scikit-learn
415,FastAPI
416,KDB+
416, PyTorch
417,KDB+
417, LangChain
418,TensorFlow
419,LangChain
420,Scikit-learn
420, KDB+
420, MLflow
421,LangChain
421, FastAPI
421, TensorFlow
422,LangChain
423,TensorFlow
423, PyTorch
424,LangChain
425,BigQuery
425, Scikit-learn
426,PyTorch
426, TensorFlow
427,FastAPI
427, BigQuery
427, TensorFlow
428,PyTorch
428, TensorFlow
428, KDB+
429,PyTorch
429, KDB+
430,TensorFlow
430, FastAPI
431,TensorFlow
431, BigQuery
431, LangChain
432,TensorFlow
432, MLflow
433,BigQuery
433, MLflow
433, KDB+
434,MLflow
434, KDB+
434, FastAPI
435,BigQuery
436,TensorFlow
436, BigQuery
437,TensorFlow
437, BigQuery
438,TensorFlow
438, KDB+
439,PyTorch
439, LangChain
439, KDB+
440,Scikit-learn
441,TensorFlow
442,LangChain
442, PyTorch
442, FastAPI
443,FastAPI
444,KDB+
445,Scikit-learn
445, KDB+
445, MLflow
446,BigQuery
447,FastAPI
447, MLflow
448,FastAPI
448, BigQuery
449,BigQuery
449, KDB+
450,Scikit-learn
450, BigQuery
451,TensorFlow
451, PyTorch
451, LangChain
452,MLflow
453,FastAPI
453, LangChain
453, PyTorch
454,KDB+
454, BigQuery
455,FastAPI
456,KDB+
457,FastAPI
457, LangChain
458,BigQuery
459,BigQuery
459, KDB+
460,TensorFlow
460, BigQuery
460, LangChain
461,LangChain
461, TensorFlow
462,MLflow
462, Scikit-learn
463,PyTorch
464,KDB+
464, MLflow
464, TensorFlow
465,Scikit-learn
466,FastAPI
466, PyTorch
467,MLflow
468,LangChain
469,TensorFlow
470,PyTorch
470, MLflow
471,MLflow
472,TensorFlow
473,BigQuery
474,FastAPI
474, Scikit-learn
474, TensorFlow
475,MLflow
475, KDB+
475, LangChain
476,MLflow
477,BigQuery
478,TensorFlow
478, BigQuery
478, LangChain
479,KDB+
479, MLflow
480,MLflow
480, PyTorch
481,Scikit-learn
481, KDB+
482,KDB+
483,Scikit-learn
484,MLflow
484, PyTorch
485,LangChain
485, Scikit-learn
485, FastAPI
486,MLflow
486, BigQuery
486, Scikit-learn
487,PyTorch
487, BigQuery
488,Scikit-learn
488, TensorFlow
488, BigQuery
489,LangChain
489, BigQuery
490,Scikit-learn
491,PyTorch
491, LangChain
492,LangChain
492, TensorFlow
493,TensorFlow
493, Scikit-learn
493, FastAPI
494,Scikit-learn
494, LangChain
495,PyTorch
495, KDB+
496,KDB+
497,KDB+
497, PyTorch
497, FastAPI
498,LangChain
499,LangChain
500,FastAPI
500, Scikit-learn
500, TensorFlow
501,TensorFlow
502,KDB+
502, FastAPI
502, Scikit-learn
503,BigQuery
503, MLflow
504,PyTorch
505,PyTorch
505, MLflow
505, LangChain
506,FastAPI
506, Scikit-learn
506, PyTorch
507,TensorFlow
508,TensorFlow
508, BigQuery
509,LangChain
509, TensorFlow
509, KDB+
510,TensorFlow
510, PyTorch
510, KDB+
511,PyTorch
512,MLflow
512, Scikit-learn
513,MLflow
513, KDB+
514,BigQuery
514, Scikit-learn
514, PyTorch
515,BigQuery
515, TensorFlow
515, FastAPI
516,TensorFlow
517,TensorFlow
517, PyTorch
518,KDB+
519,FastAPI
519, PyTorch
519, BigQuery
520,PyTorch
520, KDB+
521,TensorFlow
521, LangChain
522,TensorFlow
523,BigQuery
523, PyTorch
523, FastAPI
524,Scikit-learn
524, PyTorch
524, LangChain
525,TensorFlow
525, KDB+
525, BigQuery
526,FastAPI
526, KDB+
527,TensorFlow
528,LangChain
528, MLflow
529,KDB+
529, PyTorch
530,Scikit-learn
530, BigQuery
530, MLflow
531,FastAPI
532,Scikit-learn
532, PyTorch
533,MLflow
533, FastAPI
533, Scikit-learn
534,TensorFlow
534, FastAPI
535,FastAPI
536,MLflow
537,PyTorch
537, MLflow
538,MLflow
539,BigQuery
539, PyTorch
540,Scikit-learn
540, MLflow
540, FastAPI
541,MLflow
542,KDB+
542, Scikit-learn
542, TensorFlow
543,LangChain
543, FastAPI
544,LangChain
545,FastAPI
545, MLflow
546,PyTorch
547,FastAPI
547, PyTorch
548,LangChain
548, FastAPI
549,KDB+
549, MLflow
550,BigQuery
551,Scikit-learn
551, FastAPI
551, LangChain
552,TensorFlow
553,PyTorch
553, TensorFlow
554,MLflow
554, PyTorch
554, KDB+
555,FastAPI
556,TensorFlow
556, FastAPI
557,TensorFlow
557, KDB+
558,LangChain
558, BigQuery
558, FastAPI
559,FastAPI
559, TensorFlow
559, LangChain
560,LangChain
560, BigQuery
561,PyTorch
561, TensorFlow
561, KDB+
562,MLflow
562, Scikit-learn
562, FastAPI
563,TensorFlow
564,BigQuery
564, MLflow
565,LangChain
565, TensorFlow
565, BigQuery
566,BigQuery
566, FastAPI
567,LangChain
567, PyTorch
567, MLflow
568,FastAPI
568, KDB+
568, BigQuery
569,Scikit-learn
569, TensorFlow
569, PyTorch
570,Scikit-learn
570, PyTorch
570, FastAPI
571,MLflow
571, BigQuery
572,TensorFlow
572, LangChain
572, Scikit-learn
573,KDB+
573, BigQuery
574,MLflow
575,FastAPI
575, BigQuery
575, MLflow
576,PyTorch
576, LangChain
576, KDB+
577,KDB+
577, Scikit-learn
578,TensorFlow
579,LangChain
579, BigQuery
580,MLflow
580, LangChain
580, BigQuery
581,LangChain
582,FastAPI
582, Scikit-learn
582, PyTorch
583,Scikit-learn
583, FastAPI
583, TensorFlow
584,MLflow
585,MLflow
586,LangChain
586, Scikit-learn
586, MLflow
587,PyTorch
588,PyTorch
588, BigQuery
589,TensorFlow
589, KDB+
589, MLflow
590,BigQuery
591,Scikit-learn
591, KDB+
591, MLflow
592,FastAPI
592, TensorFlow
592, MLflow
593,TensorFlow
593, FastAPI
593, Scikit-learn
594,LangChain
594, KDB+
594, BigQuery
595,PyTorch
595, LangChain
596,Scikit-learn
596, BigQuery
596, MLflow
597,KDB+
598,LangChain
598, Scikit-learn
598, FastAPI
599,BigQuery
600,MLflow
600, LangChain
600, KDB+
601,KDB+
601, BigQuery
602,Scikit-learn
602, MLflow
603,FastAPI
603, KDB+
604,BigQuery
604, LangChain
605,KDB+
605, TensorFlow
605, Scikit-learn
606,PyTorch
606, BigQuery
606, Scikit-learn
607,FastAPI
607, BigQuery
608,FastAPI
608, Scikit-learn
608, LangChain
609,LangChain
609, PyTorch
610,TensorFlow
611,BigQuery
611, PyTorch
612,LangChain
613,Scikit-learn
613, MLflow
614,FastAPI
614, Scikit-learn
614, PyTorch
615,PyTorch
615, Scikit-learn
615, TensorFlow
616,LangChain
617,KDB+
617, FastAPI
618,MLflow
618, PyTorch
618, LangChain
619,PyTorch
619, FastAPI
620,KDB+
620, FastAPI
621,LangChain
621, KDB+
622,Scikit-learn
622, LangChain
622, TensorFlow
623,FastAPI
624,MLflow
624, LangChain
624, KDB+
625,Scikit-learn
625, BigQuery
626,Scikit-learn
626, BigQuery
627,TensorFlow
627, LangChain
627, MLflow
628,BigQuery
628, MLflow
629,Scikit-learn
630,MLflow
630, Scikit-learn
631,KDB+
631, LangChain
631, Scikit-learn
632,MLflow
632, PyTorch
632, Scikit-learn
633,Scikit-learn
634,FastAPI
634, MLflow
634, LangChain
635,LangChain
635, KDB+
635, Scikit-learn
636,TensorFlow
637,PyTorch
637, TensorFlow
637, Scikit-learn
638,TensorFlow
638, FastAPI
638, LangChain
639,MLflow
639, TensorFlow
640,MLflow
641,BigQuery
641, LangChain
642,FastAPI
642, KDB+
642, TensorFlow
643,MLflow
644,KDB+
645,FastAPI
645, BigQuery
645, PyTorch
646,PyTorch
647,PyTorch
647, LangChain
647, KDB+
648,Scikit-learn
648, BigQuery
648, PyTorch
649,TensorFlow
650,BigQuery
650, Scikit-learn
650, FastAPI
651,Scikit-learn
652,BigQuery
652, TensorFlow
652, FastAPI
653,FastAPI
654,LangChain
654, Scikit-learn
654, PyTorch
655,PyTorch
656,BigQuery
657,KDB+
657, BigQuery
657, FastAPI
658,BigQuery
659,LangChain
659, MLflow
659, KDB+
660,TensorFlow
660, LangChain
661,BigQuery
662,FastAPI
662, LangChain
663,KDB+
664,FastAPI
665,TensorFlow
666,BigQuery
667,Scikit-learn
668,BigQuery
668, KDB+
669,PyTorch
669, BigQuery
670,KDB+
670, LangChain
670, PyTorch
671,PyTorch
671, Scikit-learn
671, KDB+
672,TensorFlow
672, FastAPI
673,LangChain
673, PyTorch
673, BigQuery
674,PyTorch
674, MLflow
674, KDB+
675,FastAPI
675, PyTorch
675, MLflow
676,MLflow
676, BigQuery
677,LangChain
678,KDB+
679,BigQuery
679, MLflow
680,Scikit-learn
680, LangChain
680, TensorFlow
681,PyTorch
682,LangChain
683,FastAPI
684,KDB+
